Título PT-BR,Descrição,Nota TMDb,Data Lançamento,Gêneros,Duração (min)
Coração Valente,"No século XIII, soldados ingleses matam a mulher do escocês William Wallace, bem na sua noite de núpcias. Para vingar a amada, ele resolve liderar seu povo em uma luta contra o cruel Rei inglês Edward I. Com a ajuda de Robert e Bruce, ele vai deflagrar uma violenta batalha com o objetivo de libertar a Escócia de uma vez por todas.",7.943,1995-05-24,"Ação, Drama, História, Guerra",177
Aliens: O Resgate,"Cinquenta e quatro anos após escapar da ""Nostromo"", a tenente Ripley é encontrada a flutuar, perdida no espaço, ainda adormecida. De volta ao nosso planeta, ela conta tudo o que lhe aconteceu, mas ninguém acredita realmente nela, ou lhe parece dar crédito, até que uma colônia de humanos, criada no planeta onde ela encontrou o primeiro Alienígena, deixa de emitir comunicações subitamente. Ela então é convocada para auxiliar uma expedição militar ao local, sendo a única aparentemente consciente de que o pesadelo está longe do fim.",7.952,1986-07-18,"Ação, Thriller, Ficção científica",135
Amadeus,"Após tentar se suicidar, Salieri confessa a um padre que foi o responsável pela morte de Mozart e relata como conheceu, conviveu e passou a odiar Mozart, que era um jovem irreverente mas compunha como se sua música tivesse sido abençoada por Deus.",8.024,1984-09-19,"História, Música, Drama",180
Indiana Jones e os Caçadores da Arca Perdida,"Em 1936, o professor e arqueólogo Indiana Jones é contratado pelo governo para encontrar a Arca da Aliança, que segundo as escrituras bíblicas conteria ""Os Dez Mandamentos"" que Deus revelou a Moisés no Monte Horeb. Mas como a lenda diz que o exército que a possuir será invencível, Indiana Jones terá um adversário de peso na busca pela arca perdida: o regime nazista de Adolf Hitler.",7.921,1981-06-12,"Aventura, Ação",115
The Boat,Um pescador solitário em sua corrida diária se vê perdido em uma névoa espessa que se mostra impossível de navegar. O pior ainda está por vir quando seu encontro com um veleiro aparentemente abandonado se torna uma luta pela sobrevivência contra um inimigo desconhecido.,5.4,2019-02-22,"Thriller, Mistério, Terror",89
O Iluminado,"Durante o inverno, um homem é contratado para ficar como vigia em um hotel no Colorado e vai para lá com a esposa e seu filho. Porém, o contínuo isolamento começa a lhe causar problemas mentais sérios e ele vai se tornado cada vez mais agressivo e perigoso, ao mesmo tempo que seu filho passa a ter visões de acontecimentos ocorridos no passado, que também foram causados pelo isolamento excessivo.",8.212,1980-05-23,"Terror, Thriller",146
Mulheres e Chantagens,"Shannon percebe que seu namorado, Ray , um escultor de som, está cada vez mais desatento. Quando ele esquece o aniversário dela, Shannon vai comemorar com sua amiga, Frances, uma atriz que atuou pela última vez em uma péssima produção teatral. Após irem até uma discoteca, ambas retornam para a casa dela e ouvem conversas de celulares, através do equipamento de Ray. Uma destas conversas deixa claro que um algum banco está sendo assaltado. Elas vão até a polícia, que não acredita na história delas. Como Frances pegou o número do celular, ela convence Shannon que poderiam chantagear os ladrões.",6.0,2001-07-16,"Ação, Crime, Comédia",87
Dr. Fantástico,"Depois que o insano General Jack D. Ripper ordena um ataque nuclear contra a União Soviética, uma sala de guerra cheia de políticos, generais e um diplomata russo tentam freneticamente impedir o ataque de se concretizar.",8.118,1964-01-29,"Comédia, Guerra",95
Glória Feita de Sangue,"Em 1916, durante a Primeira Guerra Mundial, Mireau (George Meeker), um general francês, ordena um ataque suicida e como nem todos os seus soldados puderam se lançar ao ataque ele exige que sua artilharia ataque as próprias trincheiras.",8.258,1957-10-25,"Guerra, Drama, História",88
O Grande Ditador,"Depois de servir com dedicação na 1ª Guerra, um barbeiro judeu passa anos em um hospital do exército, sem saber da ascensão de um ditador fascista antissemita, que se parece muito com ele. Ao voltar para o seu bairro, ele fica atordoado com as mudanças brutais e se une a uma menina para se rebelar.",8.297,1940-10-15,"Comédia, Guerra",125
Hamilton,"Hamilton é um musical que conta a história da América por vozes americanas. Por meio da história de um dos principais fundadores americanos e primeiro secretário do Tesouro, Alexander Hamilton, a trilha sonora que mistura hip-hop, jazz, R&B e Broadway revoluciona o teatro no The Richard Rodgers Theatre, na Broadway, em junho de 2016.",8.157,2020-07-03,"História, Drama",160
Ratsasan,"Em Chenai, na Índia, uma série de meninas começam a ser assassinadas seguindo um padrão recorrente. Nesse contexto, um jovem e inexperiente diretor de cinema, Arun, que há 12 anos coleciona reportagens sobre temas correlatos, passa numa seleção para Inspetor da polícia local e em seu primeiro dia já se depara com o caso dos assassinatos das adolescentes. Usando sua criatividade de diretor de cinema, e contando com a desconfiança de sua chefe, Lakshmi, ele tentará desvendar todo esse mistério”",7.4,2018-10-05,"Thriller, Crime, Mistério",170
Ayla: A Filha da Guerra,"Baseado em fatos reais, o filme acompanha a história de um soldado turco que, durante a Guerra da Coréia, encontra o corpo quase congelado de uma menina abandonada. Apesar de não falarem a mesma língua, a convivência entre eles cria um forte laço, que durará toda uma vida.",8.041,2017-10-27,"Drama, Guerra, História",124
Dangal,Um ex-lutador treina duas de suas filhas para competirem nos Jogos da Commonwealth e ganharem a medalha de ouro que ele nunca conquistou.,7.89,2016-12-21,"Drama, Família, Comédia",161
A Caçada,"Doze estranhos acordam em uma clareira. Eles não sabem onde estão ou como chegaram lá. Eles não sabem que foram escolhidos para um propósito muito específico, A Caçada.",6.631,2020-03-11,"Ação, Thriller, Terror",90
Incêndios,"Nawal, uma mulher moribunda do Oriente Médio que vive em Montreal, deixa cartas para seus filhos gêmeos para serem lidas quando ela falecer. Jeanne deve entregar a dela para o pai que nunca conheceu e Simon deve entregar a dele para o irmão que nunca soube que tinha. Os irmãos viajam para o Oriente Médio separados e vivenciam atos de brutalidade, descobrem uma história familiar surpreendente e têm revelações sobre si mesmos.",8.093,2010-09-17,"Drama, Guerra, Mistério",131
Homem-Aranha: Sem Volta Para Casa,"Peter Parker é desmascarado e não consegue mais separar sua vida normal dos grandes riscos de ser um super-herói. Quando ele pede ajuda ao Doutor Estranho, os riscos se tornam ainda mais perigosos, e o forçam a descobrir o que realmente significa ser o Homem-Aranha...",7.945,2021-12-15,"Ação, Aventura, Ficção científica",149
Up: Altas Aventuras,"Carl Fredricksen é um vendedor de balões que, aos 78 anos, está prestes a perder a casa em que sempre viveu com sua esposa, a falecida Ellie. Após um incidente, Carl é considerado uma ameaça pública e forçado a ser internado. Para evitar que isto aconteça, ele põe balões em sua casa, fazendo com que ela levante voo. Carl quer viajar para uma floresta na América do Sul, onde ele e Ellie sempre desejaram morar, mas descobre que um problema embarcou junto: Russell, um menino de 8 anos.",7.957,2009-05-28,"Animação, Comédia, Família, Aventura",96
Como Estrelas na Terra,"É a história de uma criança que sofre com dislexia e custa a ser compreendida. O jovem Ishaan, não consegue acompanhar as aulas ou focar sua atenção, e é tratado com muita rudeza por seu pai. Após serem chamados pela escola, o pai decide levá-lo a um internato, atitude que leva o pequeno a entrar em depressão. Um professor substituto de artes, Nikumbh, logo percebe o problema de Ishaan, e entra em ação com seu plano para devolver a ele a vontade de viver.",7.983,2007-12-21,Drama,165
Toy Story 3,"Woody, Buzz e o resto dos brinquedos de Andy não são usados há anos. Com Andy prestes a ir para a faculdade, o grupo acaba por ser deixado acidentalmente numa creche. Os brinquedos devem se unir para escapar e voltar para casa de Andy.",7.8,2010-06-16,"Animação, Família, Comédia",103
Bastardos Inglórios,"Durante a Segunda Guerra Mundial, na França, um grupo de judeus americanos conhecidos como Bastardos espalha o terror entre o terceiro Reich. Ao mesmo tempo, Shosanna, uma judia que fugiu dos nazistas, planeja vingança quando um evento em seu cinema reunirá os líderes do partido.",8.215,2009-08-02,"Drama, Thriller, Guerra",152
Brilho Eterno de uma Mente sem Lembranças,"Joel se surpreende ao saber que seu amor verdadeiro, Clementine, o apagou completamente de sua memória. Ele decide fazer o mesmo, mas muda de ideia. Preso dentro da própria mente enquanto os especialistas se mantêm ocupados em seu apartamento, Joel precisa avisá-los para parar.",8.091,2004-03-19,"Ficção científica, Drama, Romance",108
O Fabuloso Destino de Amélie Poulain,"Após deixar a vida de subúrbio que levava com a família, a inocente Amélie muda-se para o bairro parisiense de Montmartre, onde começa a trabalhar como garçonete. Certo dia encontra uma caixa escondida no banheiro de sua casa e, pensando que pertencesse ao antigo morador, decide procurá-lo ­e é assim que encontra Dominique. Ao ver que ele chora de alegria ao reaver o seu objeto, a moça fica impressionada e adquire uma nova visão do mundo. Então, a partir de pequenos gestos, ela passa a ajudar as pessoas que a rodeiam, vendo nisto um novo sentido para sua existência. Contudo, ainda sente falta de um grande amor.",7.914,2001-04-25,"Comédia, Romance",122
Snatch: Porcos e Diamantes,"Quando o ladrão de joias Franky Quatro-Dedos faz uma parada em Londres, antes de entregar um enorme diamante roubado para o seu chefe em Nova York, ele não tinha a menor ideia da avalanche de acontecimentos sinistros e cômicos que abalariam o mundo do boxe, dos ciganos irlandeses, das lojas de penhores, das fazendas de porcos e... de um cão vira-latas.",7.814,2000-09-01,"Crime, Comédia",103
Réquiem para um Sonho,"Sara Goldfarb é uma viúva aposentada que vive em um pequeno apartamento. Ela passa a maior parte do tempo assistindo à TV, especialmente a um programa específico de autoajuda. Ela tem a ilusão de superar sua atual existência monótona sendo convidada para esse programa. Seu filho, Harry, é viciado em drogas, mas junto com seu amigo Tyrone tem visões de se tornar um grande traficante de drogas. A namorada de Harry, Marion, poderia ser designer de moda ou artista, mas é arrastada para o mundo das drogas de Harry. Enquanto isso, Sara desenvolveu seu próprio vício. Ela quer desesperadamente perder peso e, por isso, entra em um curso intensivo que envolve o consumo de pílulas, pílulas essas que se revelam muito viciantes e prejudiciais ao seu estado mental.",8.016,2000-10-06,"Crime, Drama",102
Gênio Indomável,"Teimoso e sem objetivo, Will Hunting tem um QI de gênio, mas opta por trabalhar como zelador no MIT. Quando ele resolve secretamente problemas de matemática altamente difíceis em nível de pós-graduação, seus talentos são descobertos pelo professor Gerald Lambeau, que decide ajudar o jovem desorientado a atingir seu potencial. Quando Will é preso por atacar um policial, o professor Lambeau faz um acordo para obter clemência se ele fizer terapia por ordem judicial. Por fim, o terapeuta Dr. Sean Maguire ajuda Will a enfrentar os demônios que o impedem de progredir.",8.158,1997-12-05,Drama,126
Toy Story: Um Mundo de Aventuras,"Buzz Lightyear é o novo e sofisticado astronauta de brinquedo do garoto Andy. Buzz não imaginava que encontraria um rival: Woody, um cowboy de brinquedo que, dominado pelo ciúme, acredita ter perdido um lugar precioso no coração do seu dono. Os dois brinquedos vivem brigando até que vão parar nas garras do vizinho, um verdadeiro destruidor de brinquedos. Agora, mais do que nunca, Buzz e Woody precisam precisam se unir para escapar do perigo. Com a ajuda de seus amigos da caixa de brinquedos, eles vão viver uma incrível aventura.",7.967,1995-11-22,"Animação, Aventura, Família, Comédia",81
Fogo Contra Fogo,"O ladrão obsessivo Neil McCauley lidera uma equipe de primeira linha em vários assaltos ousados ​​por Los Angeles, enquanto o determinado detetive Vincent Hanna o persegue sem descanso. Cada homem reconhece e respeita a capacidade e a dedicação do outro, mesmo sabendo que o seu jogo de gato e rato pode terminar em violência.",7.919,1995-12-15,"Crime, Drama, Ação",170
Cães de Aluguel,"Seis homens, completamente estranhos uns aos outros, realizam um roubo de diamantes que dá errado e vira uma emboscada sangrenta. Quando os bandidos restantes se reúnem no ponto de encontro combinado, começam a suspeitar que um deles é um policial disfarçado. Mas qual deles?",8.1,1992-09-02,"Crime, Thriller",99
